装备类型+装备当前等级,消耗内容
id,cost
4_17,"30000|1000,40000|1"
4_18,"30000|1000,40000|1"
4_19,"30000|1000,40000|3"
4_20,"30000|2000,40000|3"
4_21,"30000|2000,40000|3"
4_22,"30000|2000,40000|3"
4_23,"30000|2000,40000|3"
4_24,"30000|2000,40000|3"
4_25,"30000|2500,40000|3"
4_26,"30000|2500,40000|3"
4_27,"30000|2500,40000|3"
4_28,"30000|2500,40000|4"
4_29,"30000|2500,40000|4"
4_30,"30000|4000,40000|4"
4_31,"30000|4000,40000|4"
4_32,"30000|4000,40000|4"
4_33,"30000|4000,40000|4"
4_34,"30000|4000,40000|4"
4_35,"30000|7000,40000|5"
4_36,"30000|7000,40000|5"
4_37,"30000|7000,40000|5"
4_38,"30000|7000,40000|5"
4_39,"30000|7000,40000|5"
4_40,"30000|11500,40000|6"
4_41,"30000|11500,40000|6"
4_42,"30000|11500,40000|7"
4_43,"30000|11500,40000|8"
4_44,"30000|11500,40000|8"
4_45,"30000|20000,40000|9"
4_46,"30000|20000,40000|10"
4_47,"30000|20000,40000|11"
4_48,"30000|20000,40000|12"
4_49,"30000|20000,40000|13"
4_50,"30000|32000,40000|14"
4_51,"30000|32000,40000|15"
4_52,"30000|32000,40000|16"
4_53,"30000|32000,40000|17"
4_54,"30000|32000,40000|19"
4_55,"30000|54000,40000|20"
4_56,"30000|54000,40000|22"
4_57,"30000|54000,40000|24"
4_58,"30000|54000,40000|26"
4_59,"30000|54000,40000|28"
4_60,"30000|83000,40000|30"
4_61,"30000|83000,40000|32"
4_62,"30000|83000,40000|35"
4_63,"30000|83000,40000|37"
4_64,"30000|83000,40000|39"
4_65,"30000|140000,40000|42"
4_66,"30000|140000,40000|45"
4_67,"30000|140000,40000|48"
4_68,"30000|140000,40000|51"
4_69,"30000|140000,40000|54"
4_70,"30000|190000,40000|58"
4_71,"30000|190000,40000|61"
4_72,"30000|190000,40000|65"
4_73,"30000|190000,40000|69"
4_74,"30000|190000,40000|72"
4_75,"30000|280000,40000|76"
4_76,"30000|280000,40000|79"
4_77,"30000|280000,40000|83"
4_78,"30000|280000,40000|86"
4_79,"30000|280000,40000|90"
4_80,"30000|360000,40000|94"
4_81,"30000|360000,40000|97"
4_82,"30000|360000,40000|101"
4_83,"30000|360000,40000|104"
4_84,"30000|360000,40000|108"
4_85,"30000|480000,40000|111"
4_86,"30000|480000,40000|115"
4_87,"30000|480000,40000|118"
4_88,"30000|480000,40000|122"
4_89,"30000|480000,40000|126"
4_90,"30000|590000,40000|129"
4_91,"30000|590000,40000|133"
4_92,"30000|590000,40000|136"
4_93,"30000|590000,40000|140"
4_94,"30000|590000,40000|143"
4_95,"30000|750000,40000|147"
4_96,"30000|750000,40000|151"
4_97,"30000|750000,40000|154"
4_98,"30000|750000,40000|158"
4_99,"30000|750000,40000|161"
5_0,"30000|0,40100|0"
5_1,"30000|50,40100|1"
5_2,"30000|50,40100|1"
5_3,"30000|50,40100|1"
5_4,"30000|50,40100|1"
5_5,"30000|100,40100|1"
5_6,"30000|100,40100|1"
5_7,"30000|100,40100|1"
5_8,"30000|100,40100|1"
5_9,"30000|100,40100|2"
5_10,"30000|500,40100|2"
5_11,"30000|500,40100|2"
5_12,"30000|500,40100|2"
5_13,"30000|500,40100|2"
5_14,"30000|500,40100|2"
5_15,"30000|1000,40100|2"
5_16,"30000|1000,40100|2"
5_17,"30000|1000,40100|2"
5_18,"30000|1000,40100|2"
5_19,"30000|1000,40100|4"
5_20,"30000|2000,40100|4"
5_21,"30000|2000,40100|4"
5_22,"30000|2000,40100|4"
5_23,"30000|2000,40100|4"
5_24,"30000|2000,40100|4"
5_25,"30000|2500,40100|4"
5_26,"30000|2500,40100|4"
5_27,"30000|2500,40100|4"
5_28,"30000|2500,40100|5"
5_29,"30000|2500,40100|5"
5_30,"30000|4000,40100|5"
5_31,"30000|4000,40100|5"
5_32,"30000|4000,40100|5"
5_33,"30000|4000,40100|5"
5_34,"30000|4000,40100|5"
5_35,"30000|7000,40100|6"
5_36,"30000|7000,40100|6"
5_37,"30000|7000,40100|6"
5_38,"30000|7000,40100|6"
5_39,"30000|7000,40100|7"
5_40,"30000|11500,40100|7"
5_41,"30000|11500,40100|8"
5_42,"30000|11500,40100|9"
5_43,"30000|11500,40100|10"
5_44,"30000|11500,40100|10"
5_45,"30000|20000,40100|12"
5_46,"30000|20000,40100|13"
5_47,"30000|20000,40100|14"
5_48,"30000|20000,40100|15"
5_49,"30000|20000,40100|16"
5_50,"30000|32000,40100|18"
5_51,"30000|32000,40100|19"
5_52,"30000|32000,40100|21"
5_53,"30000|32000,40100|22"
5_54,"30000|32000,40100|24"
5_55,"30000|54000,40100|26"
5_56,"30000|54000,40100|28"
5_57,"30000|54000,40100|31"
5_58,"30000|54000,40100|33"
5_59,"30000|54000,40100|35"
5_60,"30000|83000,40100|38"
5_61,"30000|83000,40100|42"
5_62,"30000|83000,40100|45"
5_63,"30000|83000,40100|48"
5_64,"30000|83000,40100|51"
5_65,"30000|140000,40100|55"
5_66,"30000|140000,40100|58"
5_67,"30000|140000,40100|62"
5_68,"30000|140000,40100|66"
5_69,"30000|140000,40100|70"
5_70,"30000|190000,40100|75"
5_71,"30000|190000,40100|79"
5_72,"30000|190000,40100|84"
5_73,"30000|190000,40100|88"
5_74,"30000|190000,40100|93"
5_75,"30000|280000,40100|98"
5_76,"30000|280000,40100|102"
5_77,"30000|280000,40100|107"
5_78,"30000|280000,40100|111"
5_79,"30000|280000,40100|116"
5_80,"30000|360000,40100|121"
5_81,"30000|360000,40100|125"
5_82,"30000|360000,40100|130"
5_83,"30000|360000,40100|134"
5_84,"30000|360000,40100|139"
5_85,"30000|480000,40100|144"
5_86,"30000|480000,40100|148"
5_87,"30000|480000,40100|153"
5_88,"30000|480000,40100|157"
5_89,"30000|480000,40100|162"
5_90,"30000|590000,40100|167"
5_91,"30000|590000,40100|171"
5_92,"30000|590000,40100|176"
5_93,"30000|590000,40100|180"
5_94,"30000|590000,40100|185"
5_95,"30000|750000,40100|190"
5_96,"30000|750000,40100|194"
5_97,"30000|750000,40100|199"
5_98,"30000|750000,40100|203"
5_99,"30000|750000,40100|208"
