装备类型+装备当前等级,消耗内容
id,cost
4_12,"40000|3,30000|800"
4_13,"40000|3,30000|900"
4_14,"40000|3,30000|1000"
4_15,"40000|3,30000|1100"
4_16,"40000|4,30000|1200"
4_17,"40000|4,30000|1300"
4_18,"40000|4,30000|1400"
4_19,"40000|4,30000|1500"
4_20,"40000|4,30000|1700"
4_21,"40000|5,30000|1900"
4_22,"40000|5,30000|2100"
4_23,"40000|5,30000|2300"
4_24,"40000|5,30000|2500"
4_25,"40000|5,30000|2700"
4_26,"40000|6,30000|2900"
4_27,"40000|6,30000|3100"
4_28,"40000|6,30000|3300"
4_29,"40000|6,30000|3500"
4_30,"40000|6,30000|3900"
4_31,"40000|8,30000|4300"
4_32,"40000|8,30000|4700"
4_33,"40000|8,30000|5100"
4_34,"40000|8,30000|5500"
4_35,"40000|8,30000|5900"
4_36,"40000|10,30000|6300"
4_37,"40000|10,30000|6700"
4_38,"40000|10,30000|7100"
4_39,"40000|10,30000|7500"
4_40,"40000|10,30000|8500"
4_41,"40000|15,30000|9500"
4_42,"40000|15,30000|10500"
4_43,"40000|15,30000|11500"
4_44,"40000|15,30000|12500"
4_45,"40000|15,30000|13500"
4_46,"40000|20,30000|14500"
4_47,"40000|20,30000|15500"
4_48,"40000|20,30000|16500"
4_49,"40000|20,30000|17500"
4_50,"40000|20,30000|21500"
4_51,"40000|30,30000|25500"
4_52,"40000|30,30000|29500"
4_53,"40000|30,30000|33500"
4_54,"40000|30,30000|37500"
4_55,"40000|30,30000|45500"
4_56,"40000|40,30000|53500"
4_57,"40000|40,30000|61500"
4_58,"40000|40,30000|69500"
4_59,"40000|40,30000|77500"
4_60,"40000|40,30000|89500"
4_61,"40000|60,30000|101500"
4_62,"40000|60,30000|113500"
4_63,"40000|60,30000|125500"
4_64,"40000|60,30000|137500"
4_65,"40000|60,30000|153500"
4_66,"40000|80,30000|169500"
4_67,"40000|80,30000|185500"
4_68,"40000|80,30000|201500"
4_69,"40000|80,30000|217500"
4_70,"40000|80,30000|237500"
4_71,"40000|100,30000|257500"
4_72,"40000|100,30000|277500"
4_73,"40000|100,30000|297500"
4_74,"40000|100,30000|317500"
4_75,"40000|100,30000|337500"
4_76,"40000|130,30000|357500"
4_77,"40000|130,30000|377500"
4_78,"40000|130,30000|397500"
4_79,"40000|130,30000|417500"
4_80,"40000|130,30000|442500"
4_81,"40000|160,30000|467500"
4_82,"40000|160,30000|492500"
4_83,"40000|160,30000|517500"
4_84,"40000|160,30000|542500"
4_85,"40000|160,30000|572500"
4_86,"40000|190,30000|602500"
4_87,"40000|190,30000|632500"
4_88,"40000|190,30000|662500"
4_89,"40000|190,30000|692500"
4_90,"40000|190,30000|727500"
4_91,"40000|220,30000|762500"
4_92,"40000|220,30000|797500"
4_93,"40000|220,30000|832500"
4_94,"40000|220,30000|867500"
4_95,"40000|220,30000|907500"
4_96,"40000|250,30000|947500"
4_97,"40000|250,30000|987500"
4_98,"40000|250,30000|1027500"
4_99,"40000|250,30000|1067500"
4_100,"40000|250,30000|1107500"
5_1,"40100|1,30000|100"
5_2,"40100|1,30000|150"
5_3,"40100|1,30000|200"
5_4,"40100|1,30000|250"
5_5,"40100|1,30000|300"
5_6,"40100|2,30000|350"
5_7,"40100|2,30000|400"
5_8,"40100|2,30000|450"
5_9,"40100|2,30000|500"
5_10,"40100|2,30000|600"
5_11,"40100|3,30000|700"
5_12,"40100|3,30000|800"
5_13,"40100|3,30000|900"
5_14,"40100|3,30000|1000"
5_15,"40100|3,30000|1100"
5_16,"40100|4,30000|1200"
5_17,"40100|4,30000|1300"
5_18,"40100|4,30000|1400"
5_19,"40100|4,30000|1500"
5_20,"40100|4,30000|1700"
5_21,"40100|5,30000|1900"
5_22,"40100|5,30000|2100"
5_23,"40100|5,30000|2300"
5_24,"40100|5,30000|2500"
5_25,"40100|5,30000|2700"
5_26,"40100|6,30000|2900"
5_27,"40100|6,30000|3100"
5_28,"40100|6,30000|3300"
5_29,"40100|6,30000|3500"
5_30,"40100|6,30000|3900"
5_31,"40100|8,30000|4300"
5_32,"40100|8,30000|4700"
5_33,"40100|8,30000|5100"
5_34,"40100|8,30000|5500"
5_35,"40100|8,30000|5900"
5_36,"40100|10,30000|6300"
5_37,"40100|10,30000|6700"
5_38,"40100|10,30000|7100"
5_39,"40100|10,30000|7500"
5_40,"40100|10,30000|8500"
5_41,"40100|15,30000|9500"
5_42,"40100|15,30000|10500"
5_43,"40100|15,30000|11500"
5_44,"40100|15,30000|12500"
5_45,"40100|15,30000|13500"
5_46,"40100|20,30000|14500"
5_47,"40100|20,30000|15500"
5_48,"40100|20,30000|16500"
5_49,"40100|20,30000|17500"
5_50,"40100|20,30000|21500"
5_51,"40100|30,30000|25500"
5_52,"40100|30,30000|29500"
5_53,"40100|30,30000|33500"
5_54,"40100|30,30000|37500"
5_55,"40100|30,30000|45500"
5_56,"40100|40,30000|53500"
5_57,"40100|40,30000|61500"
5_58,"40100|40,30000|69500"
5_59,"40100|40,30000|77500"
5_60,"40100|40,30000|89500"
5_61,"40100|60,30000|101500"
5_62,"40100|60,30000|113500"
5_63,"40100|60,30000|125500"
5_64,"40100|60,30000|137500"
5_65,"40100|60,30000|153500"
5_66,"40100|80,30000|169500"
5_67,"40100|80,30000|185500"
5_68,"40100|80,30000|201500"
5_69,"40100|80,30000|217500"
5_70,"40100|80,30000|237500"
5_71,"40100|100,30000|257500"
5_72,"40100|100,30000|277500"
5_73,"40100|100,30000|297500"
5_74,"40100|100,30000|317500"
5_75,"40100|100,30000|337500"
5_76,"40100|130,30000|357500"
5_77,"40100|130,30000|377500"
5_78,"40100|130,30000|397500"
5_79,"40100|130,30000|417500"
5_80,"40100|130,30000|442500"
5_81,"40100|160,30000|467500"
5_82,"40100|160,30000|492500"
5_83,"40100|160,30000|517500"
5_84,"40100|160,30000|542500"
5_85,"40100|160,30000|572500"
5_86,"40100|190,30000|602500"
5_87,"40100|190,30000|632500"
5_88,"40100|190,30000|662500"
5_89,"40100|190,30000|692500"
5_90,"40100|190,30000|727500"
5_91,"40100|220,30000|762500"
5_92,"40100|220,30000|797500"
5_93,"40100|220,30000|832500"
5_94,"40100|220,30000|867500"
5_95,"40100|220,30000|907500"
5_96,"40100|250,30000|947500"
5_97,"40100|250,30000|987500"
5_98,"40100|250,30000|1027500"
5_99,"40100|250,30000|1067500"
5_100,"40100|250,30000|1107500"
