进阶消耗ID(部位+当前等阶）,消耗内容,宠物消耗内容
5_16,"30000|21500,40101|32","30000|21500,40101|32"
5_17,"30000|34500,40101|34","30000|34500,40101|34"
5_18,"30000|34500,40101|36","30000|34500,40101|36"
5_19,"30000|58000,40101|38","30000|58000,40101|38"
5_20,"30000|58000,40101|40","30000|58000,40101|40"
5_21,"30000|89000,40101|42","30000|89000,40101|42"
5_22,"30000|89000,40101|44","30000|89000,40101|44"
5_23,"30000|140000,40101|46","30000|140000,40101|46"
5_24,"30000|140000,40101|48","30000|140000,40101|48"
5_25,"30000|210000,40101|50","30000|210000,40101|50"
5_26,"30000|210000,40101|52","30000|210000,40101|52"
5_27,"30000|300000,40101|54","30000|300000,40101|54"
5_28,"30000|300000,40101|56","30000|300000,40101|56"
5_29,"30000|390000,40101|58","30000|390000,40101|58"
5_30,"30000|390000,40101|60","30000|390000,40101|60"
5_31,"30000|510000,40101|62","30000|510000,40101|62"
5_32,"30000|510000,40101|64","30000|510000,40101|64"
5_33,"30000|630000,40101|66","30000|630000,40101|66"
5_34,"30000|630000,40101|68","30000|630000,40101|68"
5_35,"30000|810000,40101|70","30000|810000,40101|70"
5_36,"30000|810000,40101|72","30000|810000,40101|72"
